Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
d3951baf-16c8-4878-a098-57e2fc417e03,"2020-05-22, 04:18:37 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacityexercisetwologs""}]",,us-east-1,,108.18.124.146
7e892390-f5d5-452e-bde1-0dfd6fac9acd,"2020-05-22, 04:15:09 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
024fa02b-5999-4c70-9e7c-8e00d60ffbcf,"2020-05-22, 04:14:39 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,108.18.124.146
1cf43af5-0503-42a2-8c94-7ee375877b76,"2020-05-22, 04:12:03 PM",Zane,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,108.18.124.146
912087cf-f4c1-45da-9cb4-178b9456884d,"2020-05-22, 04:12:03 PM",Zane,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATDR3YNFCTG24ICYML""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::213799954757:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,108.18.124.146
e8e87cb4-40ce-4884-a5f1-9ba5776531f9,"2020-05-22, 04:12:03 PM",Zane,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,108.18.124.146
ece7c9f1-b4e2-4dd7-a072-363b6eb1675a,"2020-05-22, 04:12:03 PM",Zane,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,108.18.124.146
0aa39c8e-7929-44b4-84ca-2f803196aa94,"2020-05-22, 04:10:04 PM",Zane,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,108.18.124.146
3526ffa2-2c84-435d-80b9-b8b8c805e7b9,"2020-05-22, 04:10:04 PM",Zane,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,108.18.124.146
c26be58c-d614-40d5-a906-d2dedb635598,"2020-05-22, 04:10:04 PM",Zane,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.18.124.146
2c4d49d6-81eb-4f4d-bfc1-9e79159dad6e,"2020-05-22, 04:10:03 PM",Zane,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATDR3YNFCSPG6GJZO4""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::213799954757:user/CloudTrail""}]",,us-east-1,,108.18.124.146
c008fda6-7547-4a10-8e59-f6f45bcb429c,"2020-05-22, 04:07:10 PM",Zane,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,108.18.124.146
c3776da4-0e23-4766-b7c4-97c84d7acfc7,"2020-05-22, 04:07:10 PM",Zane,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATDR3YNFC7WCRALJMV""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::213799954757:group/Reviewers""}]",,us-east-1,,108.18.124.146
6ab4194c-cec1-455d-8407-a60fd840378c,"2020-05-22, 04:06:04 PM",Zane,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.18.124.146
9fe3d218-c483-4986-a84c-f549a014205f,"2020-05-22, 04:06:04 PM",Zane,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::213799954757:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATDR3YNFC5T5P4TRJD""}]",,us-east-1,,108.18.124.146
c727b357-17ab-4e19-8aca-f7c51c254911,"2020-05-22, 04:06:04 PM",Zane,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.18.124.146
61bff5c6-ab1e-480a-b079-04f832a4b904,"2020-05-22, 03:35:40 PM",Zane,UpdateAccountPasswordPolicy,,,,us-east-1,,108.18.124.146
